Kennziffer;Raumeinheit;Aggregat;Krankenhausversorgung;Krankenhausversorgung;Krankenhausversorgung;Krankenhausversorgung;Krankenhausversorgung;Krankenhausversorgung;Betreuungsquote Kleinkinder;Betreuungsquote Kleinkinder;Betreuungsquote Kleinkinder;Betreuungsquote Kleinkinder;Betreuungsquote Kleinkinder;Kinder ausländischer Herkunft in Tageseinrichtungen;Kinder ausländischer Herkunft in Tageseinrichtungen;Kinder ausländischer Herkunft in Tageseinrichtungen
;;;2016Krankenhausversorgung;2017Krankenhausversorgung;2018Krankenhausversorgung;2019Krankenhausversorgung;2020Krankenhausversorgung;2021Krankenhausversorgung;2016;2017;2018;2019;2020;2016;2017;2018
05978;Unna;Kreise;6,76;6,73;6,81;6,74;6,88;6,88;24,48;24,7;26,24;27,39;29,36;24,63;24,7;25,51
06411;Darmstadt, Wissenschaftsstadt;Kreise;9,62;9,78;9,69;9,36;9,35;9,7;34,29;34,64;36,05;38,06;37,23;38,68;37,64;42,11
06412;Frankfurt am Main, Stadt;Kreise;8;7,91;7,59;7,56;7,24;6,83;37,03;37,94;38,79;39,62;41,99;59,2;58,18;59,55
06413;Offenbach am Main, Stadt;Kreise;9,12;9,38;9,38;9,23;8,64;8,5;26,09;25,4;24,55;25,13;25,48;62,01;62,95;66,83
06414;Wiesbaden, Landeshauptstadt;Kreise;7,45;7,11;6,99;6,73;6,96;6,6;31,34;32,59;32,86;34,36;35,75;51,21;51,33;51,48
06431;Bergstraße;Kreise;3,56;3,5;3,23;3,32;3,21;3,15;26,33;27,73;26,93;27,74;29,76;30,73;31,04;32,58
06432;Darmstadt-Dieburg;Kreise;1,45;1,45;1,4;1,42;1,4;1,4;24,1;25,06;25,06;26,16;26,93;34,31;33,76;32,83
06433;Groß-Gerau;Kreise;3,92;3,83;3,72;3,74;3,22;3,07;18,61;20,1;20,92;21,48;22,35;51,69;51,79;52,47
06434;Hochtaunuskreis;Kreise;5,1;5,19;5,43;5,39;5,16;5,26;34,14;34,66;36,3;36,15;37,27;38,89;39,72;41,56
06435;Main-Kinzig-Kreis;Kreise;4,07;4,27;4,22;4,12;4,15;3,97;24,27;25,28;25,6;26,98;27,68;37,94;39,06;40,5
06436;Main-Taunus-Kreis;Kreise;2,91;2,89;2,89;2,89;2,79;2,9;32,31;31,52;32,21;33,35;33,29;38,38;40,11;40,66
06437;Odenwaldkreis;Kreise;4,54;4,94;5,03;5,06;5,05;5,02;25,1;26,64;27,2;29,3;27,39;33,47;34,19;35,07
06438;Offenbach;Kreise;2;1,95;2,08;1,93;2,07;2,06;22,32;22,9;23,66;24,85;25,22;44,27;44,93;44,88
06439;Rheingau-Taunus-Kreis;Kreise;4,11;3,5;2,94;3,19;3,01;3,01;30,03;32,67;32,58;34,49;35,02;28,35;28,81;28,79
06440;Wetteraukreis;Kreise;4,43;4,48;4,38;4,39;4,39;4,26;28;28,84;31,15;32,84;32,53;28,76;29,52;30,69
06531;Gießen;Kreise;8,79;8,95;8,85;8,85;9;8,69;28,6;29,65;31,47;32,31;33,34;35,21;36,29;37,35
06532;Lahn-Dill-Kreis;Kreise;7,04;6,98;6,94;6,99;6,88;6,69;24,05;25,06;26,04;27,34;27,44;34,64;35,84;36,24
06533;Limburg-Weilburg;Kreise;5,8;6,04;6,19;6,06;6,1;5,68;27,36;26,88;27,53;31,2;31,97;32,64;31,16;32,8
06534;Marburg-Biedenkopf;Kreise;6,21;6,26;6,28;6,38;6,29;6,36;28,89;31,89;32,5;34,38;35,16;27,62;29,05;29,95
06535;Vogelsbergkreis;Kreise;6,34;6,57;6,31;6,51;6,27;6,16;26,07;27,54;28,97;31,13;30,37;17,74;18,32;18,77
06611;Kassel, documenta-Stadt;Kreise;13,23;13,42;13,6;13,61;12,84;12,71;28,83;28,93;29,27;30,85;30,5;47,07;48,65;50,32
06631;Fulda;Kreise;6,64;6,95;6,8;6,83;6,78;6,71;24,23;25,83;27,7;29,32;29,26;24,25;24,87;26,84
06632;Hersfeld-Rotenburg;Kreise;8,25;8,58;8,37;8,47;8,5;7,25;25,83;29;30,79;33,83;32,77;20,5;23,03;24,22
