Kennziffer;Raumeinheit;Aggregat;Bevölkerung gesamt;Bevölkerung gesamt
"08335";"Konstanz";"Kreise";"284.015,00";"288.097,00"
"08336";"Lörrach";"Kreise";"228.314,00";"229.445,00"
"08337";"Waldshut";"Kreise";"170.198,00";"171.249,00"
"08415";"Reutlingen";"Kreise";"285.754,00";"288.158,00"
"08416";"Tübingen";"Kreise";"225.755,00";"229.806,00"
"08417";"Zollernalbkreis";"Kreise";"188.170,00";"190.545,00"
"08421";"Ulm, Stadtkreis";"Kreise";"125.596,00";"126.949,00"
"08425";"Alb-Donau-Kreis";"Kreise";"194.629,00";"199.732,00"
"08426";"Biberach";"Kreise";"198.265,00";"203.244,00"
"08435";"Bodenseekreis";"Kreise";"214.655,00";"218.885,00"
"08436";"Ravensburg";"Kreise";"283.264,00";"287.011,00"
"08437";"Sigmaringen";"Kreise";"130.192,00";"131.725,00"
"09161";"Ingolstadt";"Kreise";"135.244,00";"138.016,00"
"09162";"München, Landeshauptstadt";"Kreise";"1.456.039,00";"1.487.708,00"
"09163";"Rosenheim, Stadt";"Kreise";"63.080,00";"63.508,00"
"09171";"Altötting";"Kreise";"110.338,00";"112.116,00"
"09172";"Berchtesgadener Land";"Kreise";"105.052,00";"106.389,00"
"09173";"Bad Tölz-Wolfratshausen";"Kreise";"126.572,00";"127.919,00"
"09174";"Dachau";"Kreise";"152.703,00";"155.449,00"
"09175";"Ebersberg";"Kreise";"140.800,00";"144.562,00"
"09176";"Eichstätt";"Kreise";"131.646,00";"133.634,00"
"09177";"Erding";"Kreise";"136.884,00";"139.622,00"
"09178";"Freising";"Kreise";"177.997,00";"181.144,00"
"09179";"Fürstenfeldbruck";"Kreise";"217.831,00";"218.579,00"
"09180";"Garmisch-Partenkirchen";"Kreise";"88.155,00";"88.232,00"
"09181";"Landsberg am Lech";"Kreise";"119.141,00";"121.466,00"
"09182";"Miesbach";"Kreise";"99.189,00";"99.978,00"
"09183";"Mühldorf a.Inn";"Kreise";"114.486,00";"117.606,00"
"09184";"München";"Kreise";"346.433,00";"349.837,00"
"09185";"Neuburg-Schrobenhausen";"Kreise";"96.164,00";"98.503,00"
"09186";"Pfaffenhofen a.d.Ilm";"Kreise";"126.244,00";"129.772,00"
"09187";"Rosenheim";"Kreise";"259.449,00";"263.367,00"
"09188";"Starnberg";"Kreise";"135.545,00";"136.747,00"
"09189";"Traunstein";"Kreise";"176.290,00";"178.447,00"
"09190";"Weilheim-Schongau";"Kreise";"134.252,00";"136.642,00"
"09261";"Landshut, Stadt";"Kreise";"71.193,00";"73.150,00"
"09262";"Passau, Stadt";"Kreise";"51.781,00";"53.093,00"
"09263";"Straubing";"Kreise";"47.586,00";"47.854,00"
"09271";"Deggendorf";"Kreise";"118.741,00";"120.521,00"
"09272";"Freyung-Grafenau";"Kreise";"78.345,00";"78.632,00"
"09273";"Kelheim";"Kreise";"121.119,00";"123.899,00"
"09274";"Landshut";"Kreise";"157.239,00";"162.331,00"
"09275";"Passau";"Kreise";"190.504,00";"194.090,00"
